description,upc,manufacturerSku,Price_amount,MSRP_amount,rideengine_variants_price,price_difference,update_price
"Ride Engine Day Strike Classic Board Bag V3 6'8""",840362173864,3235470004,155,155,108.50,-46.5,TRUE
"Ride Engine Day Strike Classic Board Bag V3 7'0""",840362173871,3235470005,165,165,115.50,-49.5,TRUE
"Ride Engine Thermal Block Classic Board Bag 5'4""",840362173635,3235430000,75,75,60.00,-15,TRUE
"Ride Engine Thermal Block Classic Board Bag 5'8""",840362173642,3235430001,75,75,60.00,-15,TRUE
"Ride Engine Thermal Block Classic Board Bag 6'0""",840362173659,3235430002,80,80,64.00,-16,TRUE
"Ride Engine Thermal Block Classic Board Bag 6'4""",840362173666,3235430003,80,80,64.00,-16,TRUE
"Ride Engine Thermal Block Classic Board Bag 6'8""",840362173673,3235430004,85,85,68.00,-17,TRUE
"Ride Engine Thermal Block Classic Board Bag 7'0""",840362173680,3235430005,85,85,68.00,-17,TRUE
"Ride Engine Day Strike Foil Bag V3 4'2""",840362173772,3235460000,130,130,91.00,-39,TRUE
"Ride Engine Day Strike Foil Bag V3 7'6""",840362173802,3235460003,185,185,129.50,-55.5,TRUE
"Ride Engine Thermal Block Foil Board Bag 6'6""",840362173550,3235410006,105,105,84.00,-21,TRUE
"Ride Engine Thermal Block Foil Board Bag 7'6""",840362173567,3235410007,110,110,88.00,-22,TRUE
"Ride Engine Thermal Block Foil Board Bag 7'10""",840362173574,3235410008,115,115,92.00,-23,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 4'8""",840362173895,3235480000,125,125,87.50,-37.5,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 5'4""",840362173901,3235480001,130,130,91.00,-39,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 5'8""",840362173918,3235480002,135,135,94.50,-40.5,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 6'0""",840362173925,3235480003,140,140,98.00,-42,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 6'4""",840362173932,3235480004,145,145,101.50,-43.5,TRUE
"Ride Engine Day Strike Progressive Board Bag V3 6'8""",840362173949,3235480005,150,150,105.00,-45,TRUE
Ride Engine Driver Golf Bag M - 140cm,840362173604,3235420001,260,260,208.00,-52,TRUE
Ride Engine Driver Golf Bag L - 165cm,840362173611,3235420002,270,270,216.00,-54,TRUE
Ride Engine Compression Bag V2 S,840362173345,3232500000,40,40,32.00,-8,TRUE
Ride Engine Compression Bag V2 M,840362173352,3232500001,40,40,32.00,-8,TRUE
"Ride Engine Adapt Board Sock V2 6'4""",840362173963,3235490000,70,70,56.00,-14,TRUE
"Ride Engine Adapt Board Sock V2 6'8""",840362173970,3235490001,70,70,56.00,-14,TRUE
Ride Engine Men's Box T Black S,840362163834,3229000101,39.99,39.99,19.00,-20.99,TRUE
Ride Engine Men's Box T Black M,840362163841,3229000103,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Box T Fog Grey S,840362163872,3229000201,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Box T Fog Grey M,840362163889,3229000203,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Box T Fog Grey L,840362163896,3229000205,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Wordmark T Black S,840362163926,3229000301,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Wordmark T Black M,840362163933,3229000303,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Wordmark T Fog Grey S,840362163964,3229000401,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Wordmark T Fog Grey M,840362163971,3229000403,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Wordmark T Fog Grey XL,840362163995,3229000407,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Spot T Black S,840362164015,3229000501,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Spot T Black M,840362164022,3229000503,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Spot T Fog Grey S,840362164053,3229000601,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Spot T Fog Grey M,840362164060,3229000603,39.99,39.99,19.99,-20,TRUE
Ride Engine Men's Spot T Fog Grey XL,840362164084,3229000607,39.99,39.99,19.99,-20,TRUE
Ride Engine Women's Heart Tank S,840362164107,3229000701,34.99,34.99,19.99,-15,TRUE
Ride Engine Women's Heart Tank M,840362164114,3229000703,34.99,34.99,19.99,-15,TRUE
Ride Engine Women's Heart Tank L,840362164121,3229000705,34.99,34.99,19.99,-15,TRUE
Ride Engine Wordmark Hoodie S,840362164145,3229000801,64.99,64.99,45.00,-19.99,TRUE
Ride Engine Wordmark Hoodie M,840362164152,3229000803,64.99,64.99,45.00,-19.99,TRUE
Ride Engine Wordmark Hoodie L,840362164169,3229000805,64.99,64.99,45.00,-19.99,TRUE
Ride Engine Wordmark Hoodie XL,840362164176,3229000807,64.99,64.99,45.00,-19.99,TRUE
"Ride Engine Unity Kite Spreader Fixed Hook V1 8""",840362144659,3210000108,125.1,139,124.99,-0.11,TRUE
"Ride Engine Unity Kite Spreader Fixed Hook V1 10""",840362144666,3210000110,125.1,139,124.99,-0.11,TRUE
"Ride Engine Unity Kite Spreader Fixed Hook V1 12""",840362144673,3210000112,125.1,139,124.99,-0.11,TRUE
